transaction_id,transaction_date,transaction_type,transaction_value,receiver_used_cc_limit,payment_method,installments,p2p_surcharge_rate,bills_surcharge_rate,installment_rate
1,2021-01-03,P2P,400.0,600.0,Credit card,12,0.0199,0.029900000000000003,0.0349
2,2021-09-14,BILLS,650.0,300.0,Credit card,5,0.0199,0.029900000000000003,0.0349
3,2021-07-20,BILLS,1200.0,0.0,Credit card,8,0.0199,0.029900000000000003,0.0349
4,2021-08-06,P2P,350.0,800.0,Credit card,9,0.0199,0.029900000000000003,0.0349
5,2021-04-13,P2P,3500.0,0.0,Credit card,10,0.0199,0.029900000000000003,0.0349
6,2021-05-24,P2P,3420.0,0.0,Credit card,7,0.0199,0.029900000000000003,0.0349
7,2021-03-31,BILLS,5000.0,0.0,Credit card,12,0.0199,0.029900000000000003,0.0349
8,2021-08-30,P2P,2800.0,0.0,Credit card,12,0.0199,0.029900000000000003,0.0349
9,2021-08-28,BILLS,6000.0,0.0,Credit card,4,0.0199,0.029900000000000003,0.0349
10,2021-09-27,P2P,8000.0,0.0,Credit card,6,0.0199,0.029900000000000003,0.0349
